Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
Sample143,0.105879444892177,0,0.0211209028379811,0.0513304173643144,0,0.0825675841983481,0.0532305668847638,0.0483496703568077,0.0588162140407932,0.0224842665872216,0.0638127636073741,0,0.0338365881443207,0.0178253641731322,0.027107146061585,0.175794082743316,0.0398278960156333,0.0325956748266985,0.0534930605245342,0.0222516370027374,0.0425921956860717,0.00491706128884381,0.02,0.2120646793311,0.988490913846387,0.957832537236654
Sample144,0,0.0698296033634287,0.0183809378661643,0.0375962116578661,0,0.11619979721954,0.0972940946932682,0.000359330399622084,0,0,0.0561421982125685,0,0.0598559269875679,0.0229421206944617,0,0.20707019151846,0.164915127236586,0.0251225187142854,0.0680814855093092,0,0,0,0,0.357712320815454,0.933724181038267,0.943789544073128
Sample145,0,0.0459663313967313,0.0178272822015034,0.133476675123935,0,0.0901207673902053,0.0257172440720393,0.0226462605071846,0.0245407071408611,0,0.0222985631518983,0,0.03112472165376,0,0.00758623786878896,0.267996447350247,0.401771751019448,0.0144860214195296,0.0951081878805615,0,0.0320649175379567,0,0,0.557092938142978,0.848436240673868,1.23273211571465
Sample146,0.0278230111929081,0.0553458378730086,0.0443134073833525,0.0152374515687111,0.0135228829659808,0.082046195261822,0.0422231546012735,0.0234130322261856,0,0,0.0403804811926133,0,0.0366781714569333,0.268585902984756,0.00612712867634178,0.220354796280668,0,0.0130150997162166,0.0183619243002923,0.00494221468718133,0,0,0,0.728353817351235,0.727031557161684,0.912370692368245
Sample147,0.0194058833023843,0.00748974838714995,0.0115937353947162,0.0296291042235237,0,0.0712860671616432,0.0473435332654201,0.0387417140796563,0,0,0.0437732839847507,0,0.0197466868388076,0.0909234658342587,0.00759003842912627,0.103151572919002,0.0214398464489082,0.0343396084819254,0.0383470617650287,0.000382470076720798,0.0181674261373799,0,0,0.315189994549186,0.950727994135644,0.603351246730402
Sample148,0.0444677195106129,0,0.0134527448185681,0.0326648213173439,0,0.0304048096002426,0.0282679791897959,0.0202932159674925,0.000448664436740548,0.0134709462395724,0.0108666299504453,0,0.0186921979352612,0.141557403501959,0.00436344737896721,0.238431845061504,0.163643155274952,0,0.0623515859912471,0,0.0390534942889801,0,0,0.526834563911066,0.853665481303622,0.862430660463684
Sample149,0.237457884183769,0.0963350596398886,0.0755732137765877,0.20471343393782,0,0.279662891486769,0.0520297397296522,0.0419642283592309,0,0.0555468521608219,0,0.044995222427546,0.181876871475493,0.0816731046435714,0.0329423659421805,0.546004410306733,0.066596388293844,0.0517098847344862,0.0628951805286017,0,0,0.0149564998433669,0,0.667326066076394,0.787833287628454,2.12693323147036
Sample14,0,0.0875140990312277,0.0434807341511149,0.0753843407322219,0,0.174312633412773,0.0872239554908377,0.0219269550442532,0,0.00699318394338532,0.0176545276088336,0,0.144007677228228,0.141987714163826,0.0273384507477926,0.268893204795974,0.0678891236287466,0.0144717137643978,0.0549516954092382,0,0.0320410255408918,0,0,0.595597215326554,0.829424212474977,1.26607103469374
Sample150,0.0910787103208617,0,0.0717348662936809,0.044754418977049,0,0.249691226161728,0.0445332718545247,0.03976639211019,0,0,0.0190572282211786,0,0.0148928113894247,0,0.00886735159047714,0.22340786310805,0.130498957723202,0.0173207591446221,0.0233785582031977,0,0.0250843194234888,0,0,0.372335050342168,0.927639165579117,1.00406673452168
Sample154,0.0930542599588472,0.0547282934064232,0.103951682906153,0.00156542772415439,0,0.126543503420352,0.0123545643771478,0.000729158588852608,0,0,0.0579073799119283,0,0.0113349557802392,0.00936608432321014,0,0.198991400760173,0.056652801984359,0.00299866199903969,0.459035542992951,0,0,0,0,0.486643100348125,0.873639535170865,1.18921371813383
